company_id,price,volume,pe_ratio,revenue,profit,employees,profit_margin,rev_per_employee,valuation_status,company_size
1,1935.25,3397291,29.75,4229.18,18748.47,49278,443.31,0.0858,Fair Value,Small
2,4758.5,3902429,22.49,6712.59,6304.86,138109,93.93,0.0486,Fair Value,Large
3,3686.77,4994287,12.37,44992.17,5070.47,122052,11.27,0.3686,Undervalued,Large
4,3033.43,2590706,17.32,28279.25,13117.79,39986,46.39,0.7072,Fair Value,Small
5,864.49,1291902,46.77,62581.92,12422.86,49799,19.85,1.2567,Overvalued,Small
6,864.37,2592118,35.42,99251.79,6708.98,76496,6.76,1.2975,Overvalued,Medium
7,384.61,3837973,27.32,39245.99,18569.23,90778,47.31,0.4323,Fair Value,Medium
8,4344.26,2302575,5.57,57810.28,16912.76,25379,29.26,2.2779,Undervalued,Small
9,3045.46,564071,49.66,42144.79,4557.25,169278,10.81,0.249,Overvalued,Enterprise
10,3569.56,4481137,35.22,84879.9,4858.94,110876,5.72,0.7655,Overvalued,Large
11,200.86,875435,19.26,90321.4,10294.78,101544,11.4,0.8895,Fair Value,Large
12,4852.56,2274606,44.57,87858.21,15494.08,106400,17.64,0.8257,Overvalued,Large
13,4178.97,3598472,16.63,97462.85,976.4,113893,1.0,0.8557,Fair Value,Large
14,1140.46,3106316,29.48,3724.4,13897.37,116378,373.14,0.032,Fair Value,Large
15,990.94,1664718,33.62,84141.8,12999.89,171716,15.45,0.49,Overvalued,Enterprise
16,998.68,2234793,14.95,75425.45,4706.45,103347,6.24,0.7298,Undervalued,Large
17,1590.79,1702575,49.03,23640.75,13658.92,9097,57.78,2.5987,Overvalued,Small
18,2671.31,3913270,38.67,95675.69,18809.65,106202,19.66,0.9009,Overvalued,Large
19,2216.53,4906425,30.1,15669.61,1031.04,85811,6.58,0.1826,Overvalued,Medium
20,1527.02,2478837,13.13,68275.44,6461.08,116145,9.46,0.5878,Undervalued,Large
21,3098.08,1624102,7.42,23264.13,8819.72,40960,37.91,0.568,Undervalued,Small
22,783.52,3290541,19.4,43706.68,17995.28,3325,41.17,13.1449,Fair Value,Small
23,1531.51,764180,38.89,72196.83,19249.0,110214,26.66,0.6551,Overvalued,Large
24,1895.17,2483366,17.12,56769.14,8937.89,190642,15.74,0.2978,Fair Value,Enterprise
25,2334.74,2135848,29.28,43322.68,15025.57,113318,34.68,0.3823,Fair Value,Large
26,3947.36,2539855,37.76,33307.5,10680.05,100864,32.07,0.3302,Overvalued,Large
27,1078.4,304615,9.86,84126.31,10801.88,107141,12.84,0.7852,Undervalued,Large
28,2619.75,1625233,35.84,15237.62,5634.18,112324,36.98,0.1357,Overvalued,Large
29,3002.83,3996022,9.13,43580.18,4417.43,63756,10.14,0.6835,Undervalued,Medium
30,327.61,1903740,48.43,90472.0,5831.31,183052,6.45,0.4942,Overvalued,Enterprise
31,3076.97,4068222,26.98,84739.11,11170.93,192250,13.18,0.4408,Fair Value,Enterprise
32,935.57,3168893,11.78,40693.23,680.19,76390,1.67,0.5327,Undervalued,Medium
33,418.75,938003,20.41,76547.73,18154.25,56733,23.72,1.3493,Fair Value,Medium
34,4749.54,3533382,23.6,82492.92,3210.05,26755,3.89,3.0833,Fair Value,Small
35,4831.6,381570,39.12,88999.85,4479.76,121218,5.03,0.7342,Overvalued,Large
36,4061.15,3282993,38.45,54906.07,10413.7,174773,18.97,0.3142,Overvalued,Enterprise
37,1592.61,4181082,32.54,21241.63,14231.28,3214,67.0,6.6091,Overvalued,Small
38,578.59,3495049,9.77,26275.6,2005.01,26602,7.63,0.9877,Undervalued,Small
39,3452.74,166150,11.82,30273.77,6422.12,49868,21.21,0.6071,Undervalued,Small
40,2256.75,2534206,9.22,59786.45,19376.62,48228,32.41,1.2397,Undervalued,Small
41,697.99,659723,30.97,4248.15,5320.63,151200,125.25,0.0281,Overvalued,Enterprise
42,2526.37,2647500,44.47,63968.2,6329.7,186737,9.9,0.3426,Overvalued,Enterprise
43,268.5,3455745,24.52,37071.07,16746.32,83223,45.17,0.4454,Fair Value,Medium
44,4555.67,1099554,12.24,30228.94,1099.27,108355,3.64,0.279,Undervalued,Large
45,1368.02,4293060,30.11,88070.16,9345.8,166505,10.61,0.5289,Overvalued,Enterprise
46,3346.36,4258634,41.53,46540.24,7654.37,3274,16.45,14.2151,Overvalued,Small
47,1627.38,234055,38.38,10410.25,6400.08,117869,61.48,0.0883,Overvalued,Large
48,2648.33,776022,44.67,82847.93,5785.42,35498,6.98,2.3339,Overvalued,Small
49,2778.88,909942,17.51,5716.48,1918.34,167101,33.56,0.0342,Fair Value,Enterprise
50,1005.79,3979275,13.73,72948.17,6365.03,135493,8.73,0.5384,Undervalued,Large
51,4850.96,796358,44.59,77616.72,956.74,123649,1.23,0.6277,Overvalued,Large
52,3898.15,3695790,34.59,35907.66,15641.18,186593,43.56,0.1924,Overvalued,Enterprise
53,4703.54,1941648,18.99,82654.0,8024.73,72735,9.71,1.1364,Fair Value,Medium
54,4484.65,1788472,38.41,52050.28,8933.69,23860,17.16,2.1815,Overvalued,Small
55,3029.71,3928433,41.68,46866.07,17882.53,142532,38.16,0.3288,Overvalued,Large
56,4617.18,2835264,32.67,5494.92,13195.29,141485,240.14,0.0388,Overvalued,Large
57,533.61,4548748,35.95,29712.89,260.38,130774,0.88,0.2272,Overvalued,Large
58,1060.32,2800713,21.89,93169.99,18869.18,136973,20.25,0.6802,Fair Value,Large
59,321.61,2408989,29.24,39790.57,4819.17,14230,12.11,2.7962,Fair Value,Small
60,1694.12,4237270,28.59,55123.35,2241.52,145443,4.07,0.379,Fair Value,Large
61,2004.52,4417922,43.16,53670.15,15385.75,147247,28.67,0.3645,Overvalued,Large
62,1429.61,4215625,42.8,59452.68,10059.5,107315,16.92,0.554,Overvalued,Large
63,4160.81,559297,42.47,7071.76,8732.03,150156,123.48,0.0471,Overvalued,Enterprise
64,1848.09,1120154,5.5,36855.45,5065.11,88195,13.74,0.4179,Undervalued,Medium
65,1476.58,4177151,38.73,72589.7,10994.68,61042,15.15,1.1892,Overvalued,Medium
66,2759.21,4834963,39.14,20855.46,5560.25,144033,26.66,0.1448,Overvalued,Large
67,790.53,2903696,35.53,21154.26,18041.5,99070,85.29,0.2135,Overvalued,Medium
68,4030.77,2193373,39.03,1998.97,4382.57,82303,219.24,0.0243,Overvalued,Medium
69,465.3,2472280,42.89,44310.71,17698.67,192419,39.94,0.2303,Overvalued,Enterprise
70,4935.75,3016623,26.16,88390.7,11232.17,152149,12.71,0.5809,Fair Value,Enterprise
71,3884.0,2806871,27.59,6138.19,16586.91,181789,270.22,0.0338,Fair Value,Enterprise
72,1073.71,970123,10.61,19920.75,14285.64,188645,71.71,0.1056,Undervalued,Enterprise
73,127.06,3086249,22.34,31698.37,13964.23,88277,44.05,0.3591,Fair Value,Medium
74,4095.76,1959582,33.95,73440.75,6554.48,73002,8.92,1.006,Overvalued,Medium
75,3563.6,4544499,40.12,64422.92,4754.55,92272,7.38,0.6982,Overvalued,Medium
76,3672.14,2229885,14.77,42178.45,4296.64,146802,10.19,0.2873,Undervalued,Large
77,3879.22,4820642,11.2,76147.82,17158.11,20156,22.53,3.7779,Undervalued,Small
78,462.82,2307148,34.84,61353.47,16426.49,138554,26.77,0.4428,Overvalued,Large
79,1856.48,4852525,5.08,89708.04,8867.41,55839,9.88,1.6065,Undervalued,Medium
80,667.76,649239,13.03,81984.65,2734.85,81785,3.34,1.0024,Undervalued,Medium
81,4329.21,656701,6.31,26028.55,7706.82,48739,29.61,0.534,Undervalued,Small
82,3154.16,3147569,12.51,27872.42,12424.93,191010,44.58,0.1459,Undervalued,Enterprise
83,1721.4,4728120,13.16,13410.29,9142.62,177213,68.18,0.0757,Undervalued,Enterprise
